Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Booster_Doses_Vax_Pct,Census2019_5PlusPop
Cedar County,IA,65.8,61.7,60.1,17645
Cerro Gordo County,IA,70,65.1,58,40137
Cherokee County,IA,58.5,54.4,57.5,10614
Chickasaw County,IA,59.4,56.2,59.4,11203
Clarke County,IA,60.5,56.2,53.8,8782
Clay County,IA,57.9,53.5,56.5,15005
Clayton County,IA,53.4,49.4,56.8,16602
Clinton County,IA,61.8,56.4,53.9,43605
Crawford County,IA,60,55.5,49.7,15695
Dallas County,IA,74.9,69.1,58.7,86535
Davis County,IA,40.2,37.8,55.2,8198
Decatur County,IA,46.8,42.4,58.6,7384
Delaware County,IA,59,56,58.8,15965
Des Moines County,IA,57.6,53,55.1,36715
Dickinson County,IA,66.8,61.3,57.8,16430
Dubuque County,IA,71,66.3,59.3,91253
Emmet County,IA,58.6,54.1,53.2,8708
Fayette County,IA,59.2,55.8,62.3,18542
Floyd County,IA,57.9,54.4,60.3,14691
Franklin County,IA,59.6,55.9,54.8,9442
Fremont County,IA,61.5,54.8,53.2,6558
Greene County,IA,63.4,59.7,59.9,8347
Grundy County,IA,67,63.6,59,11570
Guthrie County,IA,63.8,60,58.4,10099
Hamilton County,IA,69.8,65.1,57.6,13841
Hancock County,IA,54,51,57.5,10024
Hardin County,IA,60.4,56.9,57.3,16003
Harrison County,IA,61.2,53.8,48.3,13219
Henry County,IA,60.1,55.9,57.2,18833
Howard County,IA,57.4,53.5,60.9,8544
Humboldt County,IA,54.3,51.1,55.1,8979
Ida County,IA,54,50,57.6,6453
Iowa County,IA,68.4,64.1,57.5,15217
Jackson County,IA,57,54.2,61.2,18307
Jasper County,IA,64.2,59.9,58.9,35081
Jefferson County,IA,54.1,49.7,55.9,17488
Johnson County,IA,84.7,76.2,62.5,142442
Jones County,IA,63.5,59.8,61.7,19633
Keokuk County,IA,50.7,47.7,54.9,9636
Kossuth County,IA,57,53.1,58.7,13949
Lee County,IA,57.8,52.8,52.6,31697
Linn County,IA,74.6,68.7,61.9,212609
Louisa County,IA,58.8,54.6,52,10378
Lucas County,IA,49.5,46.5,60.3,8036
Lyon County,IA,49.7,43.6,47.9,10871
Madison County,IA,59.4,55.2,58,15423
Mahaska County,IA,49.1,45.4,56.5,20613
Marion County,IA,58.4,54.4,56.9,31356
Marshall County,IA,74.6,68.2,57.6,36812
Mills County,IA,67.9,59,52.5,14289
Mitchell County,IA,52.6,49.9,62.6,9959
Monona County,IA,59.3,55.5,54.9,8107
Monroe County,IA,50.1,47.2,56.6,7266
Montgomery County,IA,64.6,58.7,56.8,9303
Muscatine County,IA,68.1,62.6,52.5,39937
O'Brien County,IA,54.8,51.6,56.8,12870
Osceola County,IA,49.4,46.3,54.2,5637
Page County,IA,59.7,54.8,57,14368
Palo Alto County,IA,55.7,52.2,57,8331
Plymouth County,IA,57.9,54,53.4,23565
Pocahontas County,IA,57.7,53.6,57.3,6234
Polk County,IA,76.9,70,57.5,455779
Pottawattamie County,IA,68.9,60.2,51,87444
Poweshiek County,IA,67.2,60.8,61.3,17607
Ringgold County,IA,57.3,54.1,70.5,4607
Sac County,IA,57.4,54,57.6,9133
Scott County,IA,74.3,64.1,51,162162
Shelby County,IA,65.1,60.8,59.5,10854
Sioux County,IA,46.2,42.8,45.4,32412
Story County,IA,71.1,65.3,61.6,92805
Tama County,IA,69.1,64.3,58.3,15736
Taylor County,IA,51.2,48.1,60.7,5721
Union County,IA,56.4,52.6,60,11599
Unknown County,IA,,,43.8,
Van Buren County,IA,45.7,42.9,55,6619
Wapello County,IA,56.2,51.9,48.8,32715
Warren County,IA,66.4,61.5,58.3,48294
Washington County,IA,63.2,58.4,56.9,20520
Wayne County,IA,46,43,60,6020
Webster County,IA,63.8,59,55.4,33791
Winnebago County,IA,57.8,53.8,55.1,9798
Winneshiek County,IA,69.3,64.6,66.5,19099
Woodbury County,IA,65.9,58.7,45.4,95901
Worth County,IA,56.5,52.9,60.6,6963
Wright County,IA,63.3,59,57.9,11732
Ada County,ID,74.5,67,54.2,454456
Adams County,ID,49.1,45.2,54.1,4125
Bannock County,ID,61.3,54.5,47,81706
Bear Lake County,ID,53.5,48,41.7,5705
Benewah County,ID,64.7,55.1,49.5,8795
Bingham County,ID,55.9,50.1,40.6,43456
Blaine County,ID,95,85.2,57.2,21922
Boise County,ID,41.2,34.6,50.2,7552
Bonner County,ID,51.1,44.6,53.1,43452
Bonneville County,ID,61.8,55.3,42.8,109125
Boundary County,ID,40,36.2,47.3,11456
Butte County,ID,55.8,50.4,41.6,2450
Camas County,ID,48.2,44.2,46.2,1064
Canyon County,ID,54.3,48.2,45.4,213088
Caribou County,ID,44.9,41.4,46.5,6639
Cassia County,ID,51.6,44.7,36,22097
Clark County,ID,50.2,43.6,37.5,798
Clearwater County,ID,49.9,44.3,51.1,8438
Custer County,ID,53.6,48.6,54.4,4114
Elmore County,ID,69.3,60.2,37.6,25270
Franklin County,ID,53.5,46.4,40.2,12853
Fremont County,ID,53.5,46.9,40.1,12268
Gem County,ID,47.1,41.3,48.1,17064
Gooding County,ID,52.1,45.7,42.8,14132
Idaho County,ID,35.6,31.7,51.1,15876
Jefferson County,ID,49.7,44.3,35.7,27383
Jerome County,ID,53.9,47.8,41.7,22421
Kootenai County,ID,55.2,48,47.2,155901
Latah County,ID,70.9,62.2,50,37985
Lemhi County,ID,54.8,49.1,56.2,7631
Lewis County,ID,62.2,54.2,49.5,3662
Lincoln County,ID,47.9,42.8,43.6,5025
Madison County,ID,67,56.6,26.3,36032
Minidoka County,ID,50.7,44.6,40.2,19425
Nez Perce County,ID,69.2,59.6,40.3,38072
Oneida County,ID,53.9,47.9,48.1,4238
Owyhee County,ID,42.1,36.6,42.3,11070
Payette County,ID,38.3,33,42.3,22374
Power County,ID,58.2,52.7,43,7069
Shoshone County,ID,48.9,44.2,54.2,12078
Teton County,ID,79.6,65.5,45.2,11440
Twin Falls County,ID,56.7,51.6,47.8,80684
Unknown County,ID,,,42.1,
Valley County,ID,73,64.5,58.9,10854
Washington County,ID,46,41.1,44,9620
Adams County,IL,58.2,53.5,47.9,61336
Alexander County,IL,42.6,35.8,46,5446
Bond County,IL,60.8,56.6,51.5,15647
Boone County,IL,68,62.9,54.4,50538
Brown County,IL,58.9,54.4,51.6,6282
Bureau County,IL,64.7,58.8,57.1,30932
Calhoun County,IL,57.5,53.2,54.5,4516
Carroll County,IL,75,67.7,50.4,13575
Cass County,IL,68.6,63.2,49.3,11293
Champaign County,IL,75.4,67.6,61.3,198438
Christian County,IL,54.8,50.2,55.6,30657
Clark County,IL,60,52,54.5,14567
Clay County,IL,41.7,39.1,52.7,12391
Clinton County,IL,66.6,61,51.4,35350
Coles County,IL,51.3,47.4,54.5,48177
Cook County,IL,84,75,57.4,4840122
Crawford County,IL,57.7,52.6,51.9,17663
Cumberland County,IL,43.1,40,50.7,10137
De Witt County,IL,57.9,54.3,54.3,14779
DeKalb County,IL,62.3,57.9,55.4,98895
Douglas County,IL,54.5,50.6,54.3,18176
DuPage County,IL,85.9,79.4,61.3,869134
Edgar County,IL,55.8,50.6,53.5,16266
Edwards County,IL,44.8,41.6,50,6024
Effingham County,IL,54.3,50.2,52.7,31692
Fayette County,IL,40.2,37,52.4,20099
Ford County,IL,62.7,59.1,57.5,12192
Franklin County,IL,50.7,46.3,49.3,36194
Fulton County,IL,62.3,58.6,57.3,32674
Gallatin County,IL,64.1,57.2,50.8,4589
Greene County,IL,47.5,44.9,50,12274
Grundy County,IL,64.1,59.2,52.2,47931
Hamilton County,IL,44,40.6,53.3,7679
Hancock County,IL,60.5,50.9,42.2,16766
Hardin County,IL,47.9,44,52.4,3677
Henderson County,IL,59.5,52.2,50.6,6310
Henry County,IL,67,61.1,55,46226
Iroquois County,IL,56.1,52.4,54.4,25605
Jackson County,IL,59.4,53.6,55,53686
Jasper County,IL,46.2,42.8,54.3,9002
Jefferson County,IL,53,48.3,52.7,35297
Jersey County,IL,61.2,57.1,53.6,20636
Jo Daviess County,IL,92.2,81.8,50.8,20320
Johnson County,IL,60.4,54.5,50.4,11834
Kane County,IL,74.9,69,55.3,499440
Kankakee County,IL,58,53.9,51.6,103433
Kendall County,IL,76.8,71.4,53.9,120620
Knox County,IL,65.7,60.6,58.2,46818
Lake County,IL,92.6,82.6,55.9,656788
LaSalle County,IL,64.6,59.9,56.7,102644
Lawrence County,IL,48.2,42.1,43.5,14893
Lee County,IL,65.4,61.2,58.9,32381
Livingston County,IL,55.5,51.8,55.9,33595
Logan County,IL,58.2,54.8,53.1,27114
Macon County,IL,58.8,54.6,54.6,97549
Macoupin County,IL,60.3,56,54.4,42577
Madison County,IL,71.2,64.3,52.9,248080
Marion County,IL,50.4,46.9,52.5,34835
Marshall County,IL,62.8,58.6,58.5,10824
Mason County,IL,57.9,54.9,55.3,12671
Massac County,IL,56.9,50.9,52.5,13018
McDonough County,IL,55.3,49.7,55.6,28331
McHenry County,IL,74.9,69.2,56.5,290960
McLean County,IL,71.6,66.1,59,161693
Menard County,IL,62.4,58.5,56,11547
Mercer County,IL,69.2,62.5,52.7,14668
Monroe County,IL,70.2,64.3,54.8,32675
Montgomery County,IL,57.1,52.4,53.6,26929
Morgan County,IL,60.1,55.9,55.2,31927
Moultrie County,IL,48,45.1,56.8,13572
Ogle County,IL,63.8,59.3,57.7,47904
Peoria County,IL,68.6,63.3,57.5,166891
Perry County,IL,56.7,51.7,51.6,19900
Piatt County,IL,68.5,64.2,59.4,15422
Pike County,IL,45.9,42.1,48.8,14577
Pope County,IL,43.5,39.3,51.4,4066
Pulaski County,IL,52.6,45.8,45,5020
Putnam County,IL,63.1,58.9,60,5450
Randolph County,IL,57.5,53.2,48.2,30127
Richland County,IL,52.3,49.3,56.5,14558
Rock Island County,IL,73.6,61.5,47.9,133273
Saline County,IL,55.2,49.9,53.1,22034
Sangamon County,IL,72.6,67,58.1,183457
Schuyler County,IL,59.8,56.9,56.9,6483
Scott County,IL,45.3,43,55.1,4705
Shelby County,IL,45.3,42.7,54.8,20451
St. Clair County,IL,74.1,65.5,49.5,243453
Stark County,IL,58.2,54.6,57.5,5054
Stephenson County,IL,68.1,62.8,56.5,42010
Tazewell County,IL,64.3,60.6,56.7,124429
Union County,IL,63.7,58.5,52.9,15752
Unknown County,IL,,,43.3,
Vermilion County,IL,51.7,46.9,51.4,71013
Wabash County,IL,57,50.8,49.3,10818
Warren County,IL,54.8,50.9,55.8,15816
Washington County,IL,63.1,59.7,55.2,13104
Wayne County,IL,43.5,40.3,49.1,15219
White County,IL,59.7,53.8,48.9,12757
Whiteside County,IL,65.4,59.4,54.5,51995
Will County,IL,75.9,69.8,55.1,650916
Williamson County,IL,62.8,57.3,51.7,62695
Winnebago County,IL,65.4,60,56.5,264688
Woodford County,IL,58.7,55.8,58.2,36244
Adams County,IN,37.5,34.5,51.3,32450
Allen County,IN,60.5,54.9,48.9,352714
Bartholomew County,IN,69.9,64,54.3,78336
Benton County,IN,46.7,43.8,48.5,8207
Blackford County,IN,53.4,49.7,49.4,11118
Boone County,IN,80.8,74.2,55,63496
Brown County,IN,59.7,53.5,55,14487
Carroll County,IN,42.1,38.6,45.6,19105
Cass County,IN,53.6,48.1,44.1,35391
Clark County,IN,73.2,63.5,45.4,110899
Clay County,IN,64.5,59.1,46.2,24603
Clinton County,IN,55.5,50.6,46.6,30155
Crawford County,IN,42.9,38.8,51.6,9980
Daviess County,IN,37.3,34.2,44.2,30603
Dearborn County,IN,73.7,65.2,45.3,46886
Decatur County,IN,54.5,50,51.7,24871
DeKalb County,IN,47.8,43.9,49.1,40683
Delaware County,IN,55.4,50.6,52.4,108604
Dubois County,IN,63.7,59.4,51.5,39873
Elkhart County,IN,50.7,45.1,46.1,190926
Fayette County,IN,45.9,42.1,49.5,21811
Floyd County,IN,66,59.2,50.4,73866
Fountain County,IN,53.8,48.7,46.2,15420
Franklin County,IN,45.1,39.9,44.9,21357
Fulton County,IN,45.8,41.6,50.1,18764
Gibson County,IN,53.1,48.1,49,31584
Grant County,IN,48.3,43.7,47.7,62029
Greene County,IN,47.7,43.1,50,30203
Hamilton County,IN,81.8,74.7,57,316312
Hancock County,IN,75.9,70.5,50.9,73540
Harrison County,IN,59.4,53.2,48.9,38169
Hendricks County,IN,82.8,75.6,50.2,160552
Henry County,IN,58.7,54.3,49.8,45651
Howard County,IN,54.3,49.6,48.9,77601
Huntington County,IN,56.8,52.4,48.3,34457
Jackson County,IN,61.3,55.6,46.6,41242
Jasper County,IN,54.7,49.8,47.4,31656
Jay County,IN,44.9,40.5,54.2,19008
Jefferson County,IN,63.4,58.2,51.4,30433
Jennings County,IN,47,42.5,45.5,26038
Johnson County,IN,69.2,61.6,49.5,148304
Knox County,IN,55.5,51,46.4,34528
Kosciusko County,IN,46.6,42.3,46.2,74251
LaGrange County,IN,25.5,23.3,45.9,36081
Lake County,IN,66.8,59.6,48.2,456971
LaPorte County,IN,64.4,58.5,49.7,103429
Lawrence County,IN,56.2,51.3,49.3,42896
Madison County,IN,59.7,54.8,51.2,122461
Marion County,IN,67.3,59.4,49.2,894936
Marshall County,IN,51.5,46.6,50,43234
Martin County,IN,50.3,46.7,44.9,9662
Miami County,IN,46,42.1,44.2,33604
Monroe County,IN,68.6,61.5,55.3,142001
Montgomery County,IN,52.2,47.7,48,36100
Morgan County,IN,61.5,56.4,49.1,66468
Newton County,IN,37.3,33.7,46.4,13227
Noble County,IN,44.2,40.1,47.9,44587
Ohio County,IN,85.8,78.4,52.2,5564
Orange County,IN,63.3,57.8,49.7,18436
Owen County,IN,48.2,44.2,51.2,19744
Parke County,IN,45.3,41.7,46.8,15916
Perry County,IN,64.5,59.2,54.3,18075
Pike County,IN,65,59.9,50,11678
Porter County,IN,65.2,59.7,52.9,161373
Posey County,IN,53.4,49.2,52.4,24087
Pulaski County,IN,51.4,47,53.1,11703
Putnam County,IN,48.4,44.4,47.1,35747
Randolph County,IN,53.3,47.7,52.1,23202
Ripley County,IN,54.9,50.2,50.3,26622
Rush County,IN,52.4,48.6,51.2,15628
Scott County,IN,50.2,45.6,49.3,22485
Shelby County,IN,66.7,60.8,48.1,42104
Spencer County,IN,51.1,46.5,50.6,19201
St. Joseph County,IN,68.2,61.1,52.5,254530
Starke County,IN,42.4,38.7,48.8,21656
Steuben County,IN,54,49.3,52.9,32744
Sullivan County,IN,56,51.6,46.3,19617
Switzerland County,IN,35.3,32.2,48.9,10110
Tippecanoe County,IN,66.7,59.7,51.2,184368
Tipton County,IN,50.8,47,49.4,14337
Union County,IN,58.7,53,47.8,6664
Unknown County,IN,,,51,
Vanderburgh County,IN,65.6,60,51.4,170632
Vermillion County,IN,54.4,48.9,48,14646
Vigo County,IN,57,52.1,49.2,100993
Wabash County,IN,47.1,43,48.7,29366
Warren County,IN,52.9,47.7,48.8,7787
Warrick County,IN,71.2,65.2,53.2,59515
Washington County,IN,46.1,41.7,45.7,26390
Wayne County,IN,57.6,52.2,50.8,62048
Wells County,IN,47.5,43.4,48.8,26541
White County,IN,61.6,56.8,50.3,22624
Whitley County,IN,52.5,48.7,48.7,31926
Allen County,KS,53.2,48.4,54.7,11692
Anderson County,KS,49.4,44.8,55.3,7333
Atchison County,KS,54.9,48.6,51.1,15174
Barber County,KS,54.2,48.8,48.2,4154
Barton County,KS,49.1,44.9,50.1,24269
Bourbon County,KS,42,38.2,53.4,13575
Brown County,KS,69.6,63.3,54.5,8937
Butler County,KS,57.2,50.9,46.8,62871
Chase County,KS,51.4,48.1,56.9,2529
Chautauqua County,KS,49.7,42.6,50.7,3097
Cherokee County,KS,57.1,48.2,40.8,18796
Cheyenne County,KS,49.6,46.7,51.5,2472
Clark County,KS,51.2,47.7,52.3,1867
Clay County,KS,68.3,63,52.4,7531
Cloud County,KS,54.8,49.5,49.8,8240
Coffey County,KS,60.4,54.8,51.6,7715
Comanche County,KS,50.9,46.8,54.8,1608
Cowley County,KS,56.3,50.3,48,32812
Crawford County,KS,54.5,48.7,50.1,36472
Decatur County,KS,44.2,41.6,55.5,2663
Dickinson County,KS,69.1,60.1,43.7,17446
Doniphan County,KS,57.1,50.2,40.4,7201
Douglas County,KS,75,65.4,58,116395
Edwards County,KS,52.8,49.7,51.4,2638
Elk County,KS,39.3,35.5,53.8,2394
Ellis County,KS,57.8,52.1,47.4,26956
Ellsworth County,KS,60.2,58.5,56.8,5830
Finney County,KS,62.5,52.2,34.9,33352
Ford County,KS,54.5,47.9,39,30761
Franklin County,KS,59.8,53.9,50.2,23973
Geary County,KS,95,95,29.2,27951
Gove County,KS,54.2,49.1,57.8,2483
Graham County,KS,53,50.5,57.1,2390
Grant County,KS,53.7,48.9,41.5,6628
Gray County,KS,52.4,47.1,47.2,5521
Greeley County,KS,56.6,53,50.8,1137
Greenwood County,KS,55.4,51.5,49.9,5659
Hamilton County,KS,48.7,42.8,39.6,2371
Harper County,KS,54.1,50.5,46.2,5089
Harvey County,KS,54.9,49.2,52.6,32482
Haskell County,KS,45.5,40.5,45.1,3707
Hodgeman County,KS,50.7,47,46.5,1679
Jackson County,KS,71.9,66.2,49.6,12270
Jefferson County,KS,62.2,56.3,53.5,18079
Jewell County,KS,51.5,47.8,59.3,2711
Johnson County,KS,95,81.7,48.8,564811
Kearny County,KS,63.3,55.8,42.5,3551
Kingman County,KS,53.2,48.7,50.5,6746
Kiowa County,KS,56.8,52.8,51.1,2324
Labette County,KS,56.5,51.3,48.7,18345
Lane County,KS,46.8,43.5,56,1448
Leavenworth County,KS,74.5,62.1,44.1,76548
Lincoln County,KS,48.3,44.9,57.4,2819
Linn County,KS,40.4,36.9,51.7,9230
Logan County,KS,51.6,48.1,50.9,2585
Lyon County,KS,65.4,59.4,51.1,31227
Marion County,KS,56.9,51.5,54.2,11318
Marshall County,KS,71,66,56.8,9055
McPherson County,KS,62.6,57.3,53,26918
Meade County,KS,47.4,43,42.4,3777
Miami County,KS,56,49.9,50.6,32158
Mitchell County,KS,56.5,54.2,58,5605
Montgomery County,KS,54.2,47.5,46.2,29941
Morris County,KS,62,57.3,58.1,5295
Morton County,KS,49,43.1,47.4,2440
Nemaha County,KS,58.7,55.8,57,9446
Neosho County,KS,35.4,29.8,59.8,14954
Ness County,KS,59.5,54,48.9,2624
Norton County,KS,55.1,54.4,52.4,5090
Osage County,KS,57.9,52.6,54.6,15083
Osborne County,KS,45.6,42.9,57,3222
Ottawa County,KS,52.3,47.2,47.1,5447
Pawnee County,KS,58.4,56.1,57.4,6119
Phillips County,KS,47.8,44.7,49.4,4947
Pottawatomie County,KS,48.1,43.5,58.4,22542
Pratt County,KS,57.3,51.4,52.5,8601
Rawlins County,KS,46.8,44.1,52,2361
Reno County,KS,56.3,51.2,40.8,58590
Republic County,KS,55.3,51.9,51.8,4362
Rice County,KS,50.8,45.3,47.1,8996
Riley County,KS,46.2,41.1,61.4,70209
Rooks County,KS,52.6,49.5,46.6,4643
Rush County,KS,57,52.3,51.5,2877
Russell County,KS,48.7,44.5,49.8,6460
Saline County,KS,57.2,51.9,51.5,50806
Scott County,KS,53.7,49.9,43.4,4538
Sedgwick County,KS,66.9,57.6,46.7,481232
Seward County,KS,65,49.2,29.3,19481
Shawnee County,KS,72.3,64.2,55.3,166250
Sheridan County,KS,40.2,37.1,51.2,2371
Sherman County,KS,49.7,45.6,49.1,5516
Smith County,KS,49,45.9,50.5,3362
Stafford County,KS,52.2,47.8,51.8,3893
Stanton County,KS,57.2,52.3,42,1870
Stevens County,KS,46.2,40.8,43,5147
Sumner County,KS,50,45.1,46.1,21491
Thomas County,KS,46.3,42.7,53.2,7203
Trego County,KS,41.3,39.8,53,2686
Unknown County,KS,,,44.7,
Wabaunsee County,KS,53,49.3,61.3,6536
Wallace County,KS,40.3,38.8,51.3,1414
Washington County,KS,59.8,55.5,61.2,5041
Wichita County,KS,55.6,52.1,49.5,1985
Wilson County,KS,49.5,45.8,50.3,7992
Woodson County,KS,48.3,43.8,55.7,2958
Wyandotte County,KS,74.5,61.2,40.3,152587
Adair County,KY,45.3,40.4,45.4,18211
Allen County,KY,45.4,40.6,44.4,20044
Anderson County,KY,65.6,58.4,46.4,21359
Ballard County,KY,43.7,39.8,58.8,7495
Barren County,KY,53.1,47.6,47.2,41367
Bath County,KY,61.2,55.4,46.9,11599
Bell County,KY,54.2,47,39.3,24502
Boone County,KY,73.6,64.5,48.7,124932
Bourbon County,KY,68.8,60,46.7,18646
Boyd County,KY,59,51.1,43.5,44099
Boyle County,KY,67.2,58.9,51.3,28497
Bracken County,KY,53.6,48.5,48.3,7811
Breathitt County,KY,60.5,54,44,11846
Breckinridge County,KY,59.6,51,48,19224
Bullitt County,KY,53,46.7,47.2,77427
Butler County,KY,51.1,46.8,44.9,12087
Caldwell County,KY,60.3,53.4,49,12004
Calloway County,KY,54.8,47.6,47,37119
Campbell County,KY,76.9,66.6,50.2,88184
Carlisle County,KY,46.4,41.9,46.8,4448
Carroll County,KY,54.4,48,44.1,9853
Carter County,KY,57.4,50.6,46.6,25170
Casey County,KY,42,37.3,43.8,15130
Christian County,KY,44.7,38,38.2,63793
Clark County,KY,63.8,56.3,48.3,34070
Clay County,KY,51.6,46,40.2,18724
Clinton County,KY,49,42.5,40.1,9617
Crittenden County,KY,46.9,42,44.7,8334
Cumberland County,KY,50.2,46.1,42.8,6234
Daviess County,KY,61.8,55.6,51.4,94736
Edmonson County,KY,39.2,35.3,47.2,11605
Elliott County,KY,40.5,36.6,49,7181
Estill County,KY,59.1,53.7,47.4,13326
Fayette County,KY,81.4,69.3,51.4,304039
Fleming County,KY,58.1,53,49.4,13629
Floyd County,KY,64.9,58.3,43.9,33496
Franklin County,KY,70.9,63.5,52.1,48063
Fulton County,KY,73,61.1,33.8,5648
Gallatin County,KY,45.9,42,45.6,8310
Garrard County,KY,55.5,49.4,47,16656
Grant County,KY,55.1,50.4,48.3,23245
Graves County,KY,53.4,47,47.1,34724
Grayson County,KY,59.3,53.2,48.6,24767
Green County,KY,48.6,44.5,45.4,10355
Greenup County,KY,63.6,54.3,44.9,33203
Hancock County,KY,69.3,60.9,48.7,8150
Hardin County,KY,79.8,67.6,43,103564
Harlan County,KY,53.5,47.5,46.6,24374
Harrison County,KY,57.2,51.5,48.8,17711
Hart County,KY,41,36.7,49.1,17628
Henderson County,KY,61.9,53.5,47.6,42571
Henry County,KY,62.2,55.1,46.4,15163
Hickman County,KY,43.4,38.5,47.3,4187
Hopkins County,KY,58.9,53.3,46.3,42008
Jackson County,KY,41.7,37.7,45.6,12502
Jefferson County,KY,78.3,66.6,50.9,719097
Jessamine County,KY,63.9,55.6,47.8,50750
Johnson County,KY,58,51.3,43,20938
Kenton County,KY,72.1,62.9,49.9,156124
Knott County,KY,54.1,49,48.4,14025
Knox County,KY,41.7,37.5,39,29217
Larue County,KY,48.9,44.8,46.8,13579
Laurel County,KY,46.4,41.4,42.6,57043
Lawrence County,KY,56.4,49.7,43.6,14324
Lee County,KY,55.4,50.9,45.6,7008
Leslie County,KY,60.8,53.4,41.8,9331
Letcher County,KY,59,54.1,47.9,20309
Lewis County,KY,45.5,40.7,44.2,12492
Lincoln County,KY,46.9,42.2,45.6,22927
Livingston County,KY,56.9,50.6,45.5,8695
Logan County,KY,59.2,52.5,45.2,25330
Lyon County,KY,67,59.7,52.5,7952
Madison County,KY,55.9,49.8,49,87760
Magoffin County,KY,58.1,52.2,48.3,11471
Marion County,KY,57.2,51.6,48.9,18041
Marshall County,KY,61.9,54.9,48.3,29465
Martin County,KY,62,55.4,31.6,10685
Mason County,KY,58.6,52.4,50.1,16052
McCracken County,KY,66.1,57.6,46.8,61517
McCreary County,KY,45.3,40.1,38.9,16241
McLean County,KY,57.1,52.7,49.5,8693
Meade County,KY,47.2,40.6,45.2,27042
Menifee County,KY,51,45.9,50.9,6179
Mercer County,KY,62.5,56,47.6,20614
Metcalfe County,KY,45.5,41.6,46.7,9453
Monroe County,KY,52.4,47.2,47.6,9941
Montgomery County,KY,53.7,48.1,50.4,26341
Morgan County,KY,54.2,49.2,47.6,12694
Muhlenberg County,KY,58.1,52.7,48.4,28918
Nelson County,KY,61,53.8,48.1,43375
Nicholas County,KY,58.8,54,49.4,6803
Ohio County,KY,46.1,40.9,46.5,22516
Oldham County,KY,66.8,59.2,49.2,63334
Owen County,KY,42.9,38.8,50.7,10345
Owsley County,KY,53.2,48.6,39.2,4111
Pendleton County,KY,49.9,45.3,51.6,13672
Perry County,KY,71.9,63.5,44.2,24067
Pike County,KY,60.5,53.9,45.1,54822
Powell County,KY,60.4,54.1,46.9,11551
Pulaski County,KY,54,47.6,46.2,61170
Robertson County,KY,42.2,39.5,56.1,1996
Rockcastle County,KY,46.2,41.5,49.8,15801
Rowan County,KY,60.1,53.8,51.1,23135
Russell County,KY,52.2,47.1,47.1,16828
Scott County,KY,65.5,57.5,48.5,53310
Shelby County,KY,55.2,48.5,48.6,46087
Simpson County,KY,59.5,52.3,46,17390
Spencer County,KY,35.8,31.1,78,18256
Taylor County,KY,55.6,49.3,45.1,24116
Todd County,KY,50.3,43.9,40.1,11382
Trigg County,KY,54.5,48.5,46.7,13894
Trimble County,KY,53.7,45.5,41.1,8013
Union County,KY,49.7,43.7,46.4,13701
Unknown County,KY,,,40.4,
Warren County,KY,45.9,40,51,124324
Washington County,KY,59,52.6,47.1,11339
Wayne County,KY,49.6,43.6,43.4,19214
Webster County,KY,53.8,47.3,43.3,12073
Whitley County,KY,51.5,45.6,38.4,33570
Wolfe County,KY,61.3,54.9,47.5,6680
Woodford County,KY,78.7,68.5,52.9,25273
Acadia Parish,LA,60.3,54,37.7,57786
Allen Parish,LA,41.9,37,43.7,24030
Ascension Parish,LA,57.9,52,40,117788
Assumption Parish,LA,50.3,44.7,39.2,20686
Avoyelles Parish,LA,56.1,49,42.9,37503
Beauregard Parish,LA,43.3,36.9,39.1,34817
Bienville Parish,LA,58.3,51.6,42.2,12464
Bossier Parish,LA,60.9,52,36.9,118569
Caddo Parish,LA,58,49.8,43.7,224636
Calcasieu Parish,LA,50.5,43.6,38.9,188963
Caldwell Parish,LA,44.1,39.8,43.3,9278
Cameron Parish,LA,20.7,18.3,38.4,6573
Catahoula Parish,LA,48.8,41.8,39.5,8963
Claiborne Parish,LA,45.9,41.7,45.6,14925
Concordia Parish,LA,55.2,45.6,32.3,18001
De Soto Parish,LA,49.7,43.8,38.7,25810
East Baton Rouge Parish,LA,64.8,57.4,46.5,411392
East Carroll Parish,LA,54.3,47.5,44.4,6434
East Feliciana Parish,LA,46,41.9,50.2,18216
Evangeline Parish,LA,44.3,39.6,39.2,31097
Franklin Parish,LA,43.1,38,40.8,18630
Grant Parish,LA,49.6,44.1,40.4,21110
Iberia Parish,LA,54.8,48.2,41.9,64925
Iberville Parish,LA,65.2,58.6,44.1,30713
Jackson Parish,LA,49.2,44.2,38.5,14911
Jefferson Davis Parish,LA,42,37.7,41.7,29251
Jefferson Parish,LA,76.6,67,45.6,404384
La Salle Parish,LA,54.1,47,25,14000
Lafayette Parish,LA,57.9,51.4,42.1,227904
Lafourche Parish,LA,52.2,46.1,40.3,91498
Lincoln Parish,LA,50.6,44.5,42.3,44144
Livingston Parish,LA,46,40.8,37.5,131288
Madison Parish,LA,57.3,47.6,38.3,10196
Morehouse Parish,LA,55,47.1,44.7,23176
Natchitoches Parish,LA,50.2,44.6,44,35764
Orleans Parish,LA,84.1,72.1,49.3,367710
Ouachita Parish,LA,53.2,46.5,40.2,142947
Plaquemines Parish,LA,80.9,70.9,35.6,21664
Pointe Coupee Parish,LA,62.1,56.6,47.3,20455
Rapides Parish,LA,59.3,51.3,40.8,121023
Red River Parish,LA,42.8,37.9,38.9,7916
Richland Parish,LA,49,43.9,41.4,18881
