County name,State,Urban Rural Code,Deaths involving COVID-19
Amador County,CA,Noncore,101
Butte County,CA,Small metro,708
Calaveras County,CA,Noncore,58
Colusa County,CA,Noncore,35
Contra Costa County,CA,Large fringe metro,1541
Del Norte County,CA,Micropolitan,61
El Dorado County,CA,Large fringe metro,218
Fresno County,CA,Medium metro,3089
Glenn County,CA,Noncore,57
Humboldt County,CA,Micropolitan,191
Imperial County,CA,Small metro,843
Inyo County,CA,Noncore,48
Kern County,CA,Medium metro,2591
Kings County,CA,Small metro,562
Lake County,CA,Micropolitan,106
Lassen County,CA,Micropolitan,49
Los Angeles County,CA,Large central metro,31291
Madera County,CA,Small metro,378
Marin County,CA,Large fringe metro,335
Mariposa County,CA,Noncore,10
Mendocino County,CA,Micropolitan,135
Merced County,CA,Medium metro,567
Modoc County,CA,Noncore,19
Mono County,CA,Noncore,
Monterey County,CA,Medium metro,758
Napa County,CA,Small metro,183
Nevada County,CA,Micropolitan,173
Orange County,CA,Large central metro,8438
Placer County,CA,Large fringe metro,1141
Plumas County,CA,Noncore,20
Riverside County,CA,Large central metro,8087
Sacramento County,CA,Large central metro,3493
San Benito County,CA,Large fringe metro,84
San Bernardino County,CA,Large fringe metro,8563
San Diego County,CA,Large central metro,7222
San Francisco County,CA,Large central metro,984
San Joaquin County,CA,Medium metro,2406
San Luis Obispo County,CA,Medium metro,465
San Mateo County,CA,Large fringe metro,871
Santa Barbara County,CA,Medium metro,879
Santa Clara County,CA,Large central metro,2910
Santa Cruz County,CA,Medium metro,393
Shasta County,CA,Small metro,772
Sierra County,CA,Noncore,
Siskiyou County,CA,Noncore,109
Solano County,CA,Medium metro,835
Sonoma County,CA,Medium metro,736
Stanislaus County,CA,Medium metro,2554
Sutter County,CA,Small metro,91
Tehama County,CA,Micropolitan,186
Trinity County,CA,Noncore,
Tulare County,CA,Medium metro,1513
Tuolumne County,CA,Micropolitan,215
Ventura County,CA,Medium metro,1733
Yolo County,CA,Large fringe metro,296
Yuba County,CA,Small metro,297
Adams County,CO,Large fringe metro,1661
Alamosa County,CO,Noncore,75
Arapahoe County,CO,Large fringe metro,1455
Archuleta County,CO,Noncore,
Baca County,CO,Noncore,13
Bent County,CO,Noncore,16
Boulder County,CO,Medium metro,748
Broomfield County,CO,Large fringe metro,70
Chaffee County,CO,Noncore,43
Cheyenne County,CO,Noncore,
Clear Creek County,CO,Large fringe metro,
Conejos County,CO,Noncore,23
Costilla County,CO,Noncore,
Crowley County,CO,Noncore,13
Custer County,CO,Noncore,
Delta County,CO,Noncore,121
Denver County,CO,Large central metro,1435
Dolores County,CO,Noncore,
Douglas County,CO,Large fringe metro,634
Eagle County,CO,Micropolitan,20
Elbert County,CO,Large fringe metro,22
El Paso County,CO,Medium metro,2193
Fremont County,CO,Micropolitan,142
Garfield County,CO,Micropolitan,90
Gilpin County,CO,Large fringe metro,
Grand County,CO,Noncore,12
Gunnison County,CO,Noncore,
Huerfano County,CO,Noncore,29
Jefferson County,CO,Large fringe metro,1474
Kiowa County,CO,Noncore,
Kit Carson County,CO,Noncore,13
Lake County,CO,Noncore,
La Plata County,CO,Micropolitan,140
Larimer County,CO,Medium metro,799
Las Animas County,CO,Noncore,17
Lincoln County,CO,Noncore,
Logan County,CO,Micropolitan,90
Mesa County,CO,Small metro,750
Mineral County,CO,Noncore,
Moffat County,CO,Micropolitan,43
Montezuma County,CO,Noncore,37
Montrose County,CO,Micropolitan,178
Morgan County,CO,Micropolitan,92
Otero County,CO,Noncore,67
Ouray County,CO,Noncore,
Park County,CO,Large fringe metro,
Phillips County,CO,Noncore,12
Pitkin County,CO,Micropolitan,
Prowers County,CO,Noncore,29
Pueblo County,CO,Small metro,894
Rio Blanco County,CO,Noncore,13
Rio Grande County,CO,Noncore,21
Routt County,CO,Micropolitan,28
Saguache County,CO,Noncore,
San Miguel County,CO,Noncore,
Sedgwick County,CO,Noncore,
Summit County,CO,Micropolitan,15
