County name,State,Urban Rural Code,Deaths involving COVID-19
Hamilton County,IN,Large fringe metro,671
Hancock County,IN,Large fringe metro,252
Harrison County,IN,Large fringe metro,95
Hendricks County,IN,Large fringe metro,711
Henry County,IN,Micropolitan,122
Howard County,IN,Small metro,487
Huntington County,IN,Micropolitan,86
Jackson County,IN,Micropolitan,149
Jasper County,IN,Large fringe metro,61
Jay County,IN,Noncore,31
Jefferson County,IN,Micropolitan,203
Jennings County,IN,Micropolitan,40
Johnson County,IN,Large fringe metro,334
Knox County,IN,Micropolitan,237
Kosciusko County,IN,Micropolitan,128
LaGrange County,IN,Noncore,71
Lake County,IN,Large fringe metro,2363
LaPorte County,IN,Small metro,381
Lawrence County,IN,Micropolitan,153
Madison County,IN,Large fringe metro,593
Marion County,IN,Large central metro,4279
Marshall County,IN,Micropolitan,153
Martin County,IN,Noncore,16
Miami County,IN,Micropolitan,100
Monroe County,IN,Small metro,501
Montgomery County,IN,Micropolitan,77
Morgan County,IN,Large fringe metro,166
Newton County,IN,Large fringe metro,39
Noble County,IN,Micropolitan,92
Ohio County,IN,Large fringe metro,
Orange County,IN,Noncore,65
Owen County,IN,Small metro,45
Parke County,IN,Noncore,
Perry County,IN,Noncore,45
Pike County,IN,Micropolitan,27
Porter County,IN,Large fringe metro,496
Posey County,IN,Medium metro,13
Pulaski County,IN,Noncore,46
Putnam County,IN,Large fringe metro,69
Randolph County,IN,Noncore,52
Ripley County,IN,Noncore,107
Rush County,IN,Noncore,22
St. Joseph County,IN,Medium metro,942
Scott County,IN,Large fringe metro,55
Shelby County,IN,Large fringe metro,159
Spencer County,IN,Noncore,17
Starke County,IN,Noncore,34
Steuben County,IN,Micropolitan,55
Sullivan County,IN,Small metro,46
Switzerland County,IN,Noncore,
Tippecanoe County,IN,Small metro,744
Tipton County,IN,Noncore,61
Union County,IN,Large fringe metro,
Vanderburgh County,IN,Medium metro,1042
Vermillion County,IN,Small metro,31
Vigo County,IN,Small metro,623
Wabash County,IN,Micropolitan,107
Warren County,IN,Noncore,22
Warrick County,IN,Medium metro,524
Washington County,IN,Large fringe metro,44
Wayne County,IN,Micropolitan,498
Wells County,IN,Medium metro,84
White County,IN,Noncore,43
Whitley County,IN,Medium metro,56
Allen County,KS,Noncore,28
Anderson County,KS,Noncore,17
Atchison County,KS,Micropolitan,26
Barber County,KS,Noncore,
Barton County,KS,Micropolitan,74
Bourbon County,KS,Noncore,19
Brown County,KS,Noncore,30
Butler County,KS,Medium metro,121
Chase County,KS,Noncore,
Chautauqua County,KS,Noncore,
Cherokee County,KS,Noncore,23
Cheyenne County,KS,Noncore,
Clark County,KS,Noncore,13
Clay County,KS,Noncore,33
Cloud County,KS,Noncore,35
Coffey County,KS,Noncore,31
Comanche County,KS,Noncore,14
Cowley County,KS,Micropolitan,118
Crawford County,KS,Micropolitan,185
Decatur County,KS,Noncore,
Dickinson County,KS,Noncore,65
Doniphan County,KS,Small metro,23
Douglas County,KS,Small metro,160
Edwards County,KS,Noncore,12
Elk County,KS,Noncore,
Ellis County,KS,Micropolitan,185
Ellsworth County,KS,Noncore,25
Finney County,KS,Micropolitan,163
Ford County,KS,Micropolitan,103
Franklin County,KS,Micropolitan,55
Geary County,KS,Micropolitan,66
Gove County,KS,Noncore,22
Graham County,KS,Noncore,
Grant County,KS,Noncore,16
Gray County,KS,Noncore,11
Greeley County,KS,Noncore,
Greenwood County,KS,Noncore,14
Harper County,KS,Noncore,18
Harvey County,KS,Medium metro,140
Haskell County,KS,Noncore,10
Hodgeman County,KS,Noncore,
Jackson County,KS,Small metro,
Jefferson County,KS,Small metro,37
Jewell County,KS,Noncore,
Johnson County,KS,Large fringe metro,1494
Kearny County,KS,Micropolitan,15
Kingman County,KS,Medium metro,18
Kiowa County,KS,Noncore,
Labette County,KS,Micropolitan,99
Lane County,KS,Noncore,
Leavenworth County,KS,Large fringe metro,86
Lincoln County,KS,Noncore,
Linn County,KS,Large fringe metro,
Logan County,KS,Noncore,
Lyon County,KS,Micropolitan,102
McPherson County,KS,Micropolitan,92
Marion County,KS,Noncore,23
Marshall County,KS,Noncore,36
Meade County,KS,Noncore,11
Miami County,KS,Large fringe metro,29
Mitchell County,KS,Noncore,28
Montgomery County,KS,Micropolitan,128
Morris County,KS,Noncore,27
Morton County,KS,Noncore,
Nemaha County,KS,Noncore,57
Neosho County,KS,Noncore,61
Ness County,KS,Noncore,15
Norton County,KS,Noncore,35
Osage County,KS,Small metro,17
Osborne County,KS,Noncore,16
Ottawa County,KS,Micropolitan,13
Pawnee County,KS,Noncore,
Phillips County,KS,Noncore,19
Pottawatomie County,KS,Small metro,43
Pratt County,KS,Noncore,50
Rawlins County,KS,Noncore,
Reno County,KS,Micropolitan,297
Republic County,KS,Noncore,17
Rice County,KS,Noncore,18
Riley County,KS,Small metro,120
Rooks County,KS,Noncore,18
Rush County,KS,Noncore,12
Russell County,KS,Noncore,22
Saline County,KS,Micropolitan,323
Scott County,KS,Noncore,27
Sedgwick County,KS,Medium metro,2063
Seward County,KS,Micropolitan,74
Shawnee County,KS,Small metro,924
Sheridan County,KS,Noncore,11
Sherman County,KS,Noncore,15
Smith County,KS,Noncore,10
Stafford County,KS,Noncore,18
Stanton County,KS,Noncore,
Stevens County,KS,Noncore,10
Sumner County,KS,Medium metro,41
Thomas County,KS,Noncore,24
Trego County,KS,Noncore,11
Wabaunsee County,KS,Small metro,10
Wallace County,KS,Noncore,
Washington County,KS,Noncore,19
Wichita County,KS,Noncore,
Wilson County,KS,Noncore,32
Woodson County,KS,Noncore,
Wyandotte County,KS,Large fringe metro,853
Adair County,KY,Noncore,35
Allen County,KY,Small metro,51
Anderson County,KY,Micropolitan,21
Ballard County,KY,Micropolitan,15
Barren County,KY,Micropolitan,316
Bath County,KY,Micropolitan,13
Bell County,KY,Micropolitan,139
Boone County,KY,Large fringe metro,254
Bourbon County,KY,Medium metro,58
Boyd County,KY,Medium metro,586
Boyle County,KY,Micropolitan,402
Bracken County,KY,Large fringe metro,
Breathitt County,KY,Noncore,53
Breckinridge County,KY,Noncore,37
Bullitt County,KY,Large fringe metro,79
Butler County,KY,Small metro,11
Caldwell County,KY,Noncore,29
Calloway County,KY,Micropolitan,107
Campbell County,KY,Large fringe metro,383
Carlisle County,KY,Noncore,10
Carroll County,KY,Noncore,20
Carter County,KY,Noncore,35
Casey County,KY,Noncore,28
Christian County,KY,Medium metro,182
Clark County,KY,Medium metro,108
Clay County,KY,Noncore,73
Clinton County,KY,Noncore,28
Crittenden County,KY,Noncore,27
Cumberland County,KY,Noncore,33
Daviess County,KY,Small metro,651
Edmonson County,KY,Small metro,22
Elliott County,KY,Noncore,10
Estill County,KY,Noncore,30
Fayette County,KY,Medium metro,1659
Fleming County,KY,Noncore,31
Floyd County,KY,Noncore,192
Franklin County,KY,Micropolitan,225
Fulton County,KY,Micropolitan,
Gallatin County,KY,Large fringe metro,19
Garrard County,KY,Noncore,43
Grant County,KY,Large fringe metro,16
Graves County,KY,Micropolitan,172
Grayson County,KY,Noncore,81
Green County,KY,Noncore,32
Greenup County,KY,Medium metro,52
Hancock County,KY,Small metro,
Hardin County,KY,Small metro,611
Harlan County,KY,Noncore,115
Harrison County,KY,Noncore,84
Hart County,KY,Noncore,32
Henderson County,KY,Medium metro,116
Henry County,KY,Large fringe metro,15
Hickman County,KY,Noncore,12
Hopkins County,KY,Micropolitan,300
Jackson County,KY,Noncore,13
Jefferson County,KY,Large central metro,3822
Jessamine County,KY,Medium metro,70
Johnson County,KY,Noncore,77
Kenton County,KY,Large fringe metro,550
Knott County,KY,Noncore,19
Knox County,KY,Micropolitan,93
Larue County,KY,Small metro,31
Laurel County,KY,Micropolitan,306
Lawrence County,KY,Noncore,75
Lee County,KY,Noncore,31
Leslie County,KY,Noncore,24
Letcher County,KY,Noncore,100
Lewis County,KY,Noncore,24
Lincoln County,KY,Micropolitan,47
Livingston County,KY,Micropolitan,29
Logan County,KY,Noncore,54
Lyon County,KY,Noncore,
McCracken County,KY,Micropolitan,719
McCreary County,KY,Noncore,15
McLean County,KY,Small metro,15
Madison County,KY,Micropolitan,262
Magoffin County,KY,Noncore,12
Marion County,KY,Noncore,76
Marshall County,KY,Noncore,51
Martin County,KY,Noncore,11
Mason County,KY,Micropolitan,147
Meade County,KY,Small metro,30
Menifee County,KY,Micropolitan,10
Mercer County,KY,Noncore,42
Metcalfe County,KY,Micropolitan,18
Monroe County,KY,Noncore,44
Montgomery County,KY,Micropolitan,80
Morgan County,KY,Noncore,23
Muhlenberg County,KY,Noncore,55
Nelson County,KY,Micropolitan,84
Nicholas County,KY,Noncore,12
Ohio County,KY,Noncore,58
Oldham County,KY,Large fringe metro,94
Owen County,KY,Noncore,20
Owsley County,KY,Noncore,
Pendleton County,KY,Large fringe metro,16
Perry County,KY,Noncore,417
Pike County,KY,Noncore,706
Powell County,KY,Noncore,12
Pulaski County,KY,Micropolitan,427
Robertson County,KY,Noncore,
Rockcastle County,KY,Micropolitan,111
Rowan County,KY,Noncore,167
Russell County,KY,Noncore,78
Scott County,KY,Medium metro,90
Shelby County,KY,Large fringe metro,85
Simpson County,KY,Noncore,39
Spencer County,KY,Large fringe metro,16
Taylor County,KY,Micropolitan,101
Todd County,KY,Noncore,13
Trigg County,KY,Medium metro,12
Trimble County,KY,Large fringe metro,
Union County,KY,Noncore,18
Warren County,KY,Small metro,842
Washington County,KY,Noncore,25
Wayne County,KY,Noncore,52
Webster County,KY,Noncore,
Whitley County,KY,Micropolitan,319
Wolfe County,KY,Noncore,
Woodford County,KY,Medium metro,22
Acadia Parish,LA,Medium metro,164
Allen Parish,LA,Noncore,73
Ascension Parish,LA,Medium metro,106
Assumption Parish,LA,Noncore,15
Avoyelles Parish,LA,Noncore,76
Beauregard Parish,LA,Micropolitan,78
Bienville Parish,LA,Noncore,18
Bossier Parish,LA,Medium metro,372
Caddo Parish,LA,Medium metro,1910
Calcasieu Parish,LA,Small metro,719
Caldwell Parish,LA,Noncore,25
Cameron Parish,LA,Small metro,
Catahoula Parish,LA,Noncore,10
Claiborne Parish,LA,Noncore,51
Concordia Parish,LA,Micropolitan,36
De Soto Parish,LA,Medium metro,36
East Baton Rouge Parish,LA,Medium metro,2397
East Carroll Parish,LA,Noncore,
East Feliciana Parish,LA,Medium metro,49
Evangeline Parish,LA,Noncore,105
Franklin Parish,LA,Noncore,62
Grant Parish,LA,Small metro,29
Iberia Parish,LA,Medium metro,164
Iberville Parish,LA,Medium metro,26
Jackson Parish,LA,Noncore,23
Jefferson Parish,LA,Large fringe metro,1919
Jefferson Davis Parish,LA,Noncore,119
Lafayette Parish,LA,Medium metro,923
Lafourche Parish,LA,Small metro,384
La Salle Parish,LA,Noncore,50
Lincoln Parish,LA,Micropolitan,143
Livingston Parish,LA,Medium metro,77
Madison Parish,LA,Noncore,16
Morehouse Parish,LA,Micropolitan,54
Natchitoches Parish,LA,Micropolitan,145
Orleans Parish,LA,Large central metro,939
Ouachita Parish,LA,Small metro,1199
Plaquemines Parish,LA,Large fringe metro,
Pointe Coupee Parish,LA,Medium metro,42
Rapides Parish,LA,Small metro,907
Red River Parish,LA,Noncore,33
Richland Parish,LA,Noncore,41
Sabine Parish,LA,Noncore,42
St. Bernard Parish,LA,Large fringe metro,53
St. Charles Parish,LA,Large fringe metro,65
St. Helena Parish,LA,Medium metro,
St. James Parish,LA,Large fringe metro,32
St. John the Baptist Parish,LA,Large fringe metro,44
St. Landry Parish,LA,Micropolitan,334
St. Martin Parish,LA,Medium metro,45
St. Mary Parish,LA,Micropolitan,191
St. Tammany Parish,LA,Large fringe metro,1001
Tangipahoa Parish,LA,Small metro,596
Tensas Parish,LA,Noncore,
Terrebonne Parish,LA,Small metro,304
Union Parish,LA,Small metro,56
Vermilion Parish,LA,Medium metro,96
Vernon Parish,LA,Micropolitan,92
Washington Parish,LA,Micropolitan,136
Webster Parish,LA,Medium metro,112
West Baton Rouge Parish,LA,Medium metro,21
West Carroll Parish,LA,Noncore,37
West Feliciana Parish,LA,Medium metro,12
Winn Parish,LA,Noncore,43
Barnstable County,MA,Small metro,535
Berkshire County,MA,Small metro,369
Bristol County,MA,Large fringe metro,1890
Dukes County,MA,Micropolitan,
Essex County,MA,Large fringe metro,2407
Franklin County,MA,Micropolitan,93
Hampden County,MA,Medium metro,1851
Hampshire County,MA,Medium metro,272
Middlesex County,MA,Large fringe metro,3924
Nantucket County,MA,Noncore,
Norfolk County,MA,Large fringe metro,1447
Plymouth County,MA,Large fringe metro,1403
Suffolk County,MA,Large central metro,2918
Worcester County,MA,Medium metro,2578
Allegany County,MD,Small metro,491
Anne Arundel County,MD,Large fringe metro,1272
Baltimore County,MD,Large fringe metro,2440
Calvert County,MD,Large fringe metro,148
Caroline County,MD,Noncore,31
Carroll County,MD,Large fringe metro,466
Cecil County,MD,Large fringe metro,278
Charles County,MD,Large fringe metro,332
Dorchester County,MD,Micropolitan,45
Frederick County,MD,Large fringe metro,528
Garrett County,MD,Noncore,136
Harford County,MD,Large fringe metro,593
Howard County,MD,Large fringe metro,351
Kent County,MD,Noncore,50
Montgomery County,MD,Large fringe metro,3006
Prince George's County,MD,Large fringe metro,2027
Queen Anne's County,MD,Large fringe metro,48
St. Mary's County,MD,Small metro,238
Somerset County,MD,Medium metro,17
Talbot County,MD,Micropolitan,154
Washington County,MD,Medium metro,672
Wicomico County,MD,Medium metro,580
Worcester County,MD,Medium metro,185
Baltimore city,MD,Large central metro,2680
Androscoggin County,ME,Small metro,397
Aroostook County,ME,Noncore,157
Cumberland County,ME,Medium metro,683
Franklin County,ME,Noncore,62
Hancock County,ME,Noncore,84
Kennebec County,ME,Micropolitan,288
Knox County,ME,Noncore,33
Lincoln County,ME,Noncore,22
Oxford County,ME,Noncore,120
Penobscot County,ME,Small metro,483
Piscataquis County,ME,Noncore,46
Sagadahoc County,ME,Medium metro,19
Somerset County,ME,Noncore,92
Waldo County,ME,Noncore,47
Washington County,ME,Noncore,32
York County,ME,Medium metro,299
Alcona County,MI,Noncore,22
Alger County,MI,Noncore,11
Allegan County,MI,Micropolitan,155
Alpena County,MI,Micropolitan,193
Antrim County,MI,Noncore,17
Arenac County,MI,Noncore,44
Baraga County,MI,Noncore,39
Barry County,MI,Large fringe metro,82
Bay County,MI,Small metro,627
Benzie County,MI,Micropolitan,29
Berrien County,MI,Small metro,583
Branch County,MI,Micropolitan,119
Calhoun County,MI,Small metro,497
Cass County,MI,Medium metro,65
Charlevoix County,MI,Noncore,31
Cheboygan County,MI,Noncore,63
Chippewa County,MI,Micropolitan,91
Clare County,MI,Noncore,88
Clinton County,MI,Medium metro,69
Crawford County,MI,Noncore,105
Delta County,MI,Micropolitan,127
Dickinson County,MI,Micropolitan,123
Eaton County,MI,Medium metro,120
Emmet County,MI,Noncore,195
Genesee County,MI,Medium metro,1714
Gladwin County,MI,Noncore,48
Gogebic County,MI,Noncore,54
Grand Traverse County,MI,Micropolitan,500
Gratiot County,MI,Micropolitan,204
Hillsdale County,MI,Micropolitan,117
Houghton County,MI,Micropolitan,87
Huron County,MI,Noncore,74
Ingham County,MI,Medium metro,1175
Ionia County,MI,Micropolitan,65
Iosco County,MI,Noncore,103
Iron County,MI,Noncore,82
Isabella County,MI,Micropolitan,147
Jackson County,MI,Small metro,621
Kalamazoo County,MI,Medium metro,1162
Kalkaska County,MI,Micropolitan,20
Kent County,MI,Large central metro,2114
Keweenaw County,MI,Micropolitan,
Lake County,MI,Noncore,14
Lapeer County,MI,Large fringe metro,346
Leelanau County,MI,Micropolitan,20
Lenawee County,MI,Micropolitan,231
Livingston County,MI,Large fringe metro,214
Luce County,MI,Noncore,18
Mackinac County,MI,Noncore,14
Macomb County,MI,Large fringe metro,2737
Manistee County,MI,Noncore,59
Marquette County,MI,Micropolitan,239
Mason County,MI,Micropolitan,83
Mecosta County,MI,Micropolitan,98
Menominee County,MI,Micropolitan,34
Midland County,MI,Small metro,323
Missaukee County,MI,Micropolitan,23
Monroe County,MI,Small metro,276
Montcalm County,MI,Large fringe metro,153
Montmorency County,MI,Noncore,10
Muskegon County,MI,Small metro,698
Newaygo County,MI,Noncore,84
Oakland County,MI,Large fringe metro,5243
Oceana County,MI,Noncore,38
Ogemaw County,MI,Noncore,101
Ontonagon County,MI,Noncore,19
Osceola County,MI,Noncore,27
Oscoda County,MI,Noncore,17
Otsego County,MI,Noncore,78
Ottawa County,MI,Large fringe metro,564
Presque Isle County,MI,Noncore,25
Roscommon County,MI,Noncore,27
Saginaw County,MI,Small metro,1208
St. Clair County,MI,Large fringe metro,738
St. Joseph County,MI,Micropolitan,104
Sanilac County,MI,Noncore,75
Schoolcraft County,MI,Noncore,12
Shiawassee County,MI,Micropolitan,171
Tuscola County,MI,Noncore,75
Van Buren County,MI,Medium metro,114
Washtenaw County,MI,Medium metro,1250
Wayne County,MI,Large central metro,7201
Wexford County,MI,Micropolitan,130
Aitkin County,MN,Noncore,59
Anoka County,MN,Large fringe metro,916
Becker County,MN,Noncore,67
Beltrami County,MN,Micropolitan,141
Benton County,MN,Small metro,113
Big Stone County,MN,Noncore,16
Blue Earth County,MN,Small metro,168
Brown County,MN,Micropolitan,66
Carlton County,MN,Medium metro,67
Carver County,MN,Large fringe metro,128
Cass County,MN,Micropolitan,24
Chippewa County,MN,Noncore,39
Chisago County,MN,Large fringe metro,106
Clay County,MN,Small metro,83
Clearwater County,MN,Noncore,
Cook County,MN,Noncore,
Cottonwood County,MN,Noncore,36
Crow Wing County,MN,Micropolitan,177
Dakota County,MN,Large fringe metro,555
Dodge County,MN,Small metro,11
Douglas County,MN,Micropolitan,110
Faribault County,MN,Noncore,41
Fillmore County,MN,Small metro,26
Freeborn County,MN,Micropolitan,58
Goodhue County,MN,Micropolitan,122
Grant County,MN,Noncore,
Hennepin County,MN,Large central metro,3711
Houston County,MN,Small metro,18
Hubbard County,MN,Noncore,54
Isanti County,MN,Large fringe metro,67
Itasca County,MN,Noncore,114
Jackson County,MN,Noncore,11
Kanabec County,MN,Noncore,39
Kandiyohi County,MN,Micropolitan,131
Kittson County,MN,Noncore,28
Koochiching County,MN,Noncore,29
Lac qui Parle County,MN,Noncore,24
Lake County,MN,Noncore,22
Lake of the Woods County,MN,Noncore,
Le Sueur County,MN,Large fringe metro,27
Lincoln County,MN,Noncore,12
Lyon County,MN,Micropolitan,69
McLeod County,MN,Micropolitan,72
Mahnomen County,MN,Noncore,12
Marshall County,MN,Noncore,11
Martin County,MN,Noncore,49
Meeker County,MN,Noncore,60
Mille Lacs County,MN,Large fringe metro,69
Morrison County,MN,Noncore,85
Mower County,MN,Micropolitan,71
Murray County,MN,Noncore,12
Nicollet County,MN,Small metro,50
Nobles County,MN,Micropolitan,41
Norman County,MN,Noncore,
Olmsted County,MN,Small metro,558
Otter Tail County,MN,Micropolitan,108
Pennington County,MN,Noncore,36
Pine County,MN,Noncore,33
Pipestone County,MN,Noncore,21
Polk County,MN,Small metro,88
Pope County,MN,Noncore,18
Ramsey County,MN,Large central metro,2064
Red Lake County,MN,Noncore,
Redwood County,MN,Noncore,30
Renville County,MN,Noncore,43
Rice County,MN,Micropolitan,125
Rock County,MN,Noncore,28
Roseau County,MN,Noncore,35
St. Louis County,MN,Medium metro,842
Scott County,MN,Large fringe metro,175
Sherburne County,MN,Large fringe metro,98
Sibley County,MN,Large fringe metro,17
Stearns County,MN,Small metro,687
Steele County,MN,Micropolitan,65
Stevens County,MN,Noncore,
Swift County,MN,Noncore,23
Todd County,MN,Noncore,57
Traverse County,MN,Noncore,
Wabasha County,MN,Small metro,14
Wadena County,MN,Noncore,49
Waseca County,MN,Noncore,25
Washington County,MN,Large fringe metro,406
Watonwan County,MN,Noncore,19
Wilkin County,MN,Micropolitan,15
Winona County,MN,Micropolitan,82
Wright County,MN,Large fringe metro,198
Yellow Medicine County,MN,Noncore,25
Adair County,MO,Micropolitan,72
Andrew County,MO,Small metro,20
Atchison County,MO,Noncore,20
Audrain County,MO,Micropolitan,57
Barry County,MO,Noncore,49
Barton County,MO,Noncore,30
Bates County,MO,Large fringe metro,49
Benton County,MO,Noncore,46
Bollinger County,MO,Small metro,17
Boone County,MO,Small metro,816
Buchanan County,MO,Small metro,457
Butler County,MO,Micropolitan,280
Caldwell County,MO,Large fringe metro,
Callaway County,MO,Small metro,49
Camden County,MO,Noncore,265
Cape Girardeau County,MO,Small metro,515
Carroll County,MO,Noncore,26
Carter County,MO,Noncore,
Cass County,MO,Large fringe metro,155
Cedar County,MO,Noncore,29
Chariton County,MO,Noncore,24
Christian County,MO,Medium metro,61
Clark County,MO,Micropolitan,17
Clay County,MO,Large fringe metro,1050
Clinton County,MO,Large fringe metro,112
Cole County,MO,Small metro,514
Cooper County,MO,Noncore,29
Crawford County,MO,Noncore,112
Dade County,MO,Noncore,23
Dallas County,MO,Medium metro,38
Daviess County,MO,Noncore,
DeKalb County,MO,Small metro,15
Dent County,MO,Noncore,44
Douglas County,MO,Noncore,33
Dunklin County,MO,Micropolitan,29
Franklin County,MO,Large fringe metro,307
Gasconade County,MO,Noncore,78
Gentry County,MO,Noncore,17
Greene County,MO,Medium metro,2151
Grundy County,MO,Noncore,35
Harrison County,MO,Noncore,15
Henry County,MO,Noncore,40
Hickory County,MO,Noncore,20
Holt County,MO,Noncore,
Howard County,MO,Noncore,12
Howell County,MO,Micropolitan,215
Iron County,MO,Noncore,13
Jackson County,MO,Large central metro,2740
Jasper County,MO,Small metro,144
Jefferson County,MO,Large fringe metro,473
Johnson County,MO,Micropolitan,98
Knox County,MO,Noncore,
Laclede County,MO,Micropolitan,97
Lafayette County,MO,Large fringe metro,60
Lawrence County,MO,Noncore,96
Lewis County,MO,Micropolitan,
Lincoln County,MO,Large fringe metro,59
Linn County,MO,Noncore,27
Livingston County,MO,Noncore,72
McDonald County,MO,Medium metro,14
Macon County,MO,Noncore,39
Madison County,MO,Noncore,24
Maries County,MO,Noncore,
Marion County,MO,Micropolitan,179
Mercer County,MO,Noncore,
Miller County,MO,Noncore,37
Mississippi County,MO,Noncore,15
Moniteau County,MO,Small metro,25
Monroe County,MO,Noncore,18
Montgomery County,MO,Noncore,27
Morgan County,MO,Noncore,44
New Madrid County,MO,Noncore,33
Newton County,MO,Small metro,863
Nodaway County,MO,Micropolitan,34
Oregon County,MO,Noncore,
Osage County,MO,Small metro,16
Ozark County,MO,Noncore,19
Pemiscot County,MO,Noncore,32
Perry County,MO,Noncore,21
Pettis County,MO,Micropolitan,172
Phelps County,MO,Micropolitan,304
Pike County,MO,Noncore,16
Platte County,MO,Large fringe metro,184
Polk County,MO,Medium metro,162
Pulaski County,MO,Micropolitan,26
Putnam County,MO,Noncore,13
Ralls County,MO,Micropolitan,
Randolph County,MO,Micropolitan,71
Ray County,MO,Large fringe metro,22
Reynolds County,MO,Noncore,
Ripley County,MO,Noncore,
St. Charles County,MO,Large fringe metro,999
St. Clair County,MO,Noncore,18
Ste. Genevieve County,MO,Noncore,17
St. Francois County,MO,Micropolitan,181
St. Louis County,MO,Large fringe metro,4419
Saline County,MO,Micropolitan,66
Schuyler County,MO,Micropolitan,16
Scotland County,MO,Noncore,21
Scott County,MO,Micropolitan,154
Shannon County,MO,Noncore,11
Shelby County,MO,Noncore,
Stoddard County,MO,Noncore,47
Stone County,MO,Micropolitan,13
Sullivan County,MO,Noncore,11
Taney County,MO,Micropolitan,158
Texas County,MO,Noncore,76
Vernon County,MO,Noncore,59
Warren County,MO,Large fringe metro,24
Washington County,MO,Noncore,49
Wayne County,MO,Noncore,13
Webster County,MO,Medium metro,58
Worth County,MO,Noncore,
Wright County,MO,Noncore,17
St. Louis city,MO,Large central metro,1216
Adams County,MS,Micropolitan,164
Alcorn County,MS,Micropolitan,272
Amite County,MS,Micropolitan,33
Attala County,MS,Noncore,63
Benton County,MS,Large fringe metro,16
Bolivar County,MS,Micropolitan,98
Calhoun County,MS,Noncore,70
Carroll County,MS,Micropolitan,17
Chickasaw County,MS,Noncore,35
Choctaw County,MS,Noncore,
Claiborne County,MS,Micropolitan,26
Clarke County,MS,Micropolitan,34
Clay County,MS,Noncore,59
Coahoma County,MS,Micropolitan,91
Copiah County,MS,Medium metro,59
Covington County,MS,Noncore,38
DeSoto County,MS,Large fringe metro,923
Forrest County,MS,Small metro,786
Franklin County,MS,Noncore,20
George County,MS,Noncore,78
Greene County,MS,Noncore,
Grenada County,MS,Micropolitan,110
Hancock County,MS,Medium metro,54
Harrison County,MS,Medium metro,856
Hinds County,MS,Medium metro,2037
Holmes County,MS,Noncore,34
Humphreys County,MS,Noncore,11
Issaquena County,MS,Noncore,
Itawamba County,MS,Micropolitan,24
Jackson County,MS,Medium metro,566
Jasper County,MS,Micropolitan,
Jefferson County,MS,Noncore,11
Jefferson Davis County,MS,Noncore,23
Jones County,MS,Micropolitan,302
Kemper County,MS,Micropolitan,16
Lafayette County,MS,Micropolitan,549
Lamar County,MS,Small metro,287
Lauderdale County,MS,Micropolitan,781
Lawrence County,MS,Noncore,21
Leake County,MS,Noncore,87
Lee County,MS,Micropolitan,1014
Leflore County,MS,Micropolitan,279
Lincoln County,MS,Micropolitan,174
Lowndes County,MS,Micropolitan,468
Madison County,MS,Medium metro,267
Marion County,MS,Noncore,45
Marshall County,MS,Large fringe metro,75
Monroe County,MS,Noncore,200
Montgomery County,MS,Noncore,74
Neshoba County,MS,Noncore,85
Newton County,MS,Noncore,21
Noxubee County,MS,Noncore,19
Oktibbeha County,MS,Micropolitan,171
Panola County,MS,Noncore,98
Pearl River County,MS,Micropolitan,125
Perry County,MS,Small metro,10
Pike County,MS,Micropolitan,208
Pontotoc County,MS,Micropolitan,80
Prentiss County,MS,Noncore,94
Quitman County,MS,Noncore,
Rankin County,MS,Medium metro,312
Scott County,MS,Noncore,40
Sharkey County,MS,Noncore,16
Simpson County,MS,Medium metro,115
Smith County,MS,Noncore,19
Stone County,MS,Noncore,17
Sunflower County,MS,Micropolitan,98
Tallahatchie County,MS,Noncore,18
Tate County,MS,Large fringe metro,61
Tippah County,MS,Noncore,61
Tishomingo County,MS,Noncore,66
Tunica County,MS,Large fringe metro,12
Union County,MS,Noncore,143
Walthall County,MS,Noncore,18
Warren County,MS,Micropolitan,291
Washington County,MS,Micropolitan,295
Wayne County,MS,Noncore,85
Webster County,MS,Noncore,57
Wilkinson County,MS,Noncore,21
Winston County,MS,Noncore,67
Yalobusha County,MS,Noncore,22
Yazoo County,MS,Medium metro,58
Beaverhead County,MT,Noncore,34
Big Horn County,MT,Noncore,15
Blaine County,MT,Noncore,10
Broadwater County,MT,Noncore,
Carbon County,MT,Small metro,15
Carter County,MT,Noncore,
Cascade County,MT,Small metro,518
Chouteau County,MT,Noncore,
Custer County,MT,Noncore,39
Daniels County,MT,Noncore,
Dawson County,MT,Noncore,50
Deer Lodge County,MT,Noncore,41
Fallon County,MT,Noncore,
Fergus County,MT,Noncore,43
Flathead County,MT,Micropolitan,399
Gallatin County,MT,Micropolitan,129
Glacier County,MT,Noncore,29
Golden Valley County,MT,Small metro,
Granite County,MT,Noncore,
Hill County,MT,Noncore,63
Jefferson County,MT,Micropolitan,
Lake County,MT,Noncore,68
Lewis and Clark County,MT,Micropolitan,213
Liberty County,MT,Noncore,
Lincoln County,MT,Noncore,43
McCone County,MT,Noncore,
Madison County,MT,Noncore,10
Meagher County,MT,Noncore,
Mineral County,MT,Noncore,
Missoula County,MT,Small metro,372
Musselshell County,MT,Noncore,11
Park County,MT,Noncore,43
Phillips County,MT,Noncore,15
Pondera County,MT,Noncore,
Powder River County,MT,Noncore,
Powell County,MT,Noncore,18
Prairie County,MT,Noncore,
Ravalli County,MT,Noncore,102
Richland County,MT,Noncore,23
Roosevelt County,MT,Noncore,34
Rosebud County,MT,Noncore,14
Sanders County,MT,Noncore,38
